,url,species,fewspp_group,multispp_group,n,MC_relevance_modifiers
19,https://doi.org/10.5061/dryad.62g52g4,Oxalis montana ,Angiosperms,NA,NA,L
20,https://doi.org/10.5061/dryad.63fr7,"Populus balsamifera, Populus deltoides, hybrids",Angiosperms,NA,NA,M
23,https://doi.org/10.5061/dryad.67t23,Tachycineta bicolor,Aves,NA,NA,M
24,https://doi.org/10.5061/dryad.686sq,Coregonus clupeaformis,Fish,NA,NA,L
25,https://doi.org/10.5061/dryad.6g53s,Salvelinus namaycush,Fish,NA,NA,L
26,https://doi.org/10.5061/dryad.7163d,Atlantic salmon,Fish,NA,NA,L
27,https://doi.org/10.5061/dryad.72602,Rangifer tarandus caribou,Mammalia,NA,NA,H
28,https://doi.org/10.5061/dryad.796t8,40 species (mostly birds and few mammals),NA,Mammalia,2,H
29,https://doi.org/10.5061/dryad.796t8,40 species (mostly birds and few mammals),NA,Aves,38,H
30,https://doi.org/10.5061/dryad.8134,"Protomognathus americanus, Temnothorax longispinosus, Temnothorax curvispinosus",Insecta,NA,NA,L
31,https://doi.org/10.5061/dryad.82hs7,Poecile hudsonicus,Aves,NA,NA,H
32,https://doi.org/10.5061/dryad.841vq48,bee communities,NA,Insecta,74,M
33,https://doi.org/10.5061/dryad.87jb3,Tachycineta bicolor,Aves,NA,NA,M
34,https://doi.org/10.5061/dryad.8cz8w9gk6,21 bird species,NA,Aves,21,H
35,https://doi.org/10.5061/dryad.8cz8w9gr1,Pseudacris maculata,Amphibia,NA,NA,M
36,https://doi.org/10.5061/dryad.8kprr4xs0,10 tree species,NA,Plantae,13,H
37,https://doi.org/10.5061/dryad.8w9ghx3pf,"arctic fox, lemming, Sandpiper, Passerine",Mammalia,NA,NA,H
38,https://doi.org/10.5061/dryad.8w9ghx3pf,"arctic fox, lemming, Sandpiper, Passerine",Aves,NA,NA,H
39,https://doi.org/10.5061/dryad.914j5m0,black spruce,Gymnosperms,NA,NA,L
40,https://doi.org/10.5061/dryad.9w0vt4bg8,100 lichen species,NA,Lichen,100,H
41,https://doi.org/10.5061/dryad.b46k4,c.150 plant species,NA,Plantae,150,M
42,https://doi.org/10.5061/dryad.d5j34,Sugar maple,Angiosperms,NA,NA,M
43,https://doi.org/10.5061/dryad.d7wm37q4f,37 ant species,NA,Insecta,37,H
44,https://doi.org/10.5061/dryad.dbrv15f1c,Juglans cinerea,Gymnosperms,NA,NA,H
45,https://doi.org/10.5061/dryad.dncjsxm24,97 plant species,NA,Plantae,97,H
46,https://doi.org/10.5061/dryad.f7bq534,"black spruce, balsam fir, jack pine, white spruce, white birch",Angiosperms,NA,NA,H
47,https://doi.org/10.5061/dryad.f7bq534,"black spruce, balsam fir, jack pine, white spruce, white birch",Gymnosperms,NA,NA,H
48,https://doi.org/10.5061/dryad.ft94b,Coregonus clupeaformis,Fish,NA,NA,L
49,https://doi.org/10.5061/dryad.g1jwstqqx,Ursus americanus,Mammalia,NA,NA,L
50,https://doi.org/10.5061/dryad.h65f4,"Rangifer tarandus, Alces alces, Canis lupus",Mammalia,NA,NA,M
51,https://doi.org/10.5061/dryad.hs37s,Myotis lucifugus,Mammalia,NA,NA,M
52,https://doi.org/10.5061/dryad.j6q573nh4,Anser caerulescens atlantica,Aves,NA,NA,M
53,https://doi.org/10.5061/dryad.jk680,Salvelinus namaycush,Fish,NA,NA,L
54,https://doi.org/10.5061/dryad.m233m,"Trillium erectum, Erythronium americanum",Angiosperms,NA,NA,L
55,https://doi.org/10.5061/dryad.mpg4f4r16,Tachycineta bicolor,Aves,NA,NA,H
56,https://doi.org/10.5061/dryad.n3c2f,caribou,Mammalia,NA,NA,L
57,https://doi.org/10.5061/dryad.n7054,Tachycineta bicolor,Aves,NA,NA,M
58,https://doi.org/10.5061/dryad.n726pq6,caribou,Mammalia,NA,NA,H
59,https://doi.org/10.5061/dryad.n8c57,Tachycineta bicolor,Aves,NA,NA,H
60,https://doi.org/10.5061/dryad.nb115,"Porzana carolina, Rallus limicola, Coturnicops noveboracensis",Aves,NA,NA,H
61,https://doi.org/10.5061/dryad.nt511dp,Salvelinus namaycush,Fish,NA,NA,L
62,https://doi.org/10.5061/dryad.p2r8r,northern flying squirrel,Mammalia,NA,NA,M
63,https://doi.org/10.5061/dryad.pg4f4qrpf,"8 bird species, lemmings",Mammalia,NA,NA,H
64,https://doi.org/10.5061/dryad.pg4f4qrpf,"8 bird species, lemmings",Aves,NA,NA,H
65,https://doi.org/10.5061/dryad.pnvx0k6hq,caribou,Mammalia,NA,NA,H
66,https://doi.org/10.5061/dryad.pzgmsbchr,Odocoileus virginianus,Mammalia,NA,NA,H
67,https://doi.org/10.5061/dryad.q573n5tdx,"Abies balsamea, Acer rubrum, Acer saccharum, Betula papyrifera, Betula alleghaniensis, Populus tremuloides, Fagus grandifolia, and other data for 40 species",NA,Plantae,48,M
68,https://doi.org/10.5061/dryad.q810f,"Carex (42), Eriophorum (6), and Trichophorum (2) species",NA,Plantae,50,M
69,https://doi.org/10.5061/dryad.q810f,"Carex (42), Eriophorum (6), and Trichophorum (2) species",NA,Mammalia,1,M
70,https://doi.org/10.5061/dryad.q810f,"Carex (42), Eriophorum (6), and Trichophorum (2) species",NA,Insecta,1,M
71,https://doi.org/10.5061/dryad.qjq2bvqkh,"Castor canadensis, Agrilus planipennis, c.30 plant species",NA,Plantae,30,M
72,https://doi.org/10.5061/dryad.qn1cj,Caribou,Mammalia,NA,NA,H
73,https://doi.org/10.5061/dryad.qs1h4,Salvelinus namaycush,Fish,NA,NA,M
74,https://doi.org/10.5061/dryad.qt30h,communities (42 spp),NA,Plantae,42,L
75,https://doi.org/10.5061/dryad.qt30h,communities (42 spp),NA,Plantae,4,L
76,https://doi.org/10.5061/dryad.qt30h,communities (42 spp),NA,Aves,3,L
77,https://doi.org/10.5061/dryad.r6s1c,"Dendragapus canadensis, Poecile hudsonicus, Alces americanus, Rangifer tarandus, other 8 mammals, 4 tree species, 3 bird species",NA,Mammalia,12,H
78,https://doi.org/10.5061/dryad.rn8pk0pbj,"Apanteles fumiferanae, Glypta fumiferanae",Insecta,NA,NA,H
79,https://doi.org/10.5061/dryad.rp77j,Phragmites australis,Angiosperms,NA,NA,L
80,https://doi.org/10.5061/dryad.s1rn8pk7d,180 plant species,NA,Plantae,180,L
81,https://doi.org/10.5061/dryad.s26qt314,"Enallagma hageni, Enallagma ebrium",NA,NA,NA,L
82,https://doi.org/10.5061/dryad.sbcc2fr4j,Thuja occidentalis,NA,NA,NA,H
83,https://doi.org/10.5061/dryad.sf1k4m8,"Black spruce, other 16 plants",NA,NA,NA,H
84,https://doi.org/10.5061/dryad.sqv9s4n2j,"Trillium erectum, Erythronium americanum",NA,NA,NA,L
85,https://doi.org/10.5061/dryad.t11f5,10 fish species,NA,NA,NA,L
86,https://doi.org/10.5061/dryad.t77f1p4,Lynx rufus,Mammalia,NA,NA,H
87,https://doi.org/10.5061/dryad.tqjq2bvwz,28 plant species,NA,Plantae,28,H
88,https://doi.org/10.5061/dryad.vmcvdncrn,"88 phytoplankton species, 34 zooplankton species, 18 fish species",NA,Algae,88,M
89,https://doi.org/10.5061/dryad.vmcvdncrn,"88 phytoplankton species, 34 zooplankton species, 18 fish species",NA,Zooplankton,34,M
90,https://doi.org/10.5061/dryad.vmcvdncrn,"88 phytoplankton species, 34 zooplankton species, 18 fish species",NA,Fish,18,M
91,https://doi.org/10.5061/dryad.vt4b8gtnv,Homarus americanus,Crustacea,NA,NA,L
92,https://doi.org/10.5061/dryad.xd2547dj8,diptera (in general. No species),Insecta,NA,NA,L
93,https://doi.org/10.5061/dryad.xgxd254cp,Salvelinus namaycush,Fish,NA,NA,L
94,https://doi.org/10.5061/dryad.xgxd254dk,parasites (460 OTUS),NA,Insecta,50,M
95,https://doi.org/10.5061/dryad.zs7h44j7m,Plants (docens) and bee species (docens),NA,Insecta,68,M
96,https://doi.org/10.5061/dryad.zs7h44j7m,Plants (docens) and bee species (docens),NA,Plantae,9,M
97,https://doi.org/10.3897/BDJ.8.e49450.suppl1,150 insect species (Odonata),NA,Insecta,150,H
98,https://doi.org/10.5061/dryad.fp659276,Procyon lotor,Mammalia,NA,NA,H
99,https://doi.org/10.5061/dryad.679s1dt,NA,NA,Mammalia,12,H
100,https://doi.org/10.5061/dryad.679s1dt,NA,NA,Insecta,439,H
